,Unnamed: 0.1,Unnamed: 0,business,Count
0,0,0,المشاغل النسائية,87
1,1,1,الأسواق الصغيرة,64
2,2,2,المطاعم والأنشطة الأخرى ذات الصلة,59
3,3,3,مطاعم محلية - بوفيه,45
4,4,4,محلات الحلويات والشوكولاتة,43
5,5,5,محلات أجهزة التسخين والتكييف ومعدات السباكة,42
6,6,6,البقالات المحلية,41
7,7,7,الصيدليات,34
8,8,8,محلات الخياطة الرجالية,33
9,9,9,مطاعم الوجبات السريعة,32
10,10,10,المقاهي,31
11,11,11,محلات الخياطة النسائية - عمالة ذكور,31
12,12,12,محلات النظارات,26
13,13,13,محلات بيع اللحوم والأسماك والطيور الداجنة,26
14,14,14,محلات العطور والبخور,25
15,15,15,محلات بيع الخضروات والفواكه,22
16,16,16,محطات البنزين,19
17,17,17,محلات البيع بالتجزئة الأخرى,18
18,18,18,محلات أجهزة وبرامج الحاسب الآلي,17
19,19,19,محلات الهواتف الجوالة,17
20,20,20,محلات العطارة والمحامص والمكسرات,16
21,21,21,محلات الملابس الأخرى,15
22,22,22,محلات الكتب والقرطاسية واللوازم المكتبية,14
23,23,23,محلات أطباق أجهزة الاستقبال الفضائي,13
24,24,24,محلات الموكيت والسجاد وبلاط الأرضيات,12
25,25,25,محلات تغليف الهدايا,12
26,26,26,أفران الخبز البلدي,12
27,27,27,محلات الأدوات الرياضية,12
28,28,28,محلات اكسسوارات وزينة السيارات,12
29,29,29,محلات لعب الأطفال,12
30,30,30,السوبر ماركت,11
31,31,31,محلات الأثاث المنزلي,11
32,32,32,محلات الملابس الرجالية الجاهزة,11
33,33,33,محلات الستائر وأغطية الأثاث,10
34,34,34,محلات الأحذية,10
35,35,35,محلات بيع منتجات السباكة والتكييف بالجملة,9
36,36,36,محلات قطع المفاتيح,8
37,37,37,محلات الراديوهات والتلفزيونات,7
38,38,38,محلات بيع العود والعسل,7
39,39,39,محلات الأثاث والتجهيزات المنزلية الأخرى,6
40,40,40,محلات البشوت,6
41,41,41,محلات لوازم السيارات,6
42,42,42,محلات الأثاث والتجهيزات الأخرى للبيع بالتجزئة,5
43,43,43,محلات الآيس كريم,5
44,44,44,المخابز,5
45,45,45,محلات المعدات الطبية ومعدات طب الأسنان,5
46,46,46,محلات ملابس الأطفال الجاهزة,5
47,47,47,المطاعم ذات الخدمات الشاملة,4
48,48,48,محلات بيع الزجاج بالتجزئة,4
49,49,49,محلات المنتجات الكهربائية والمواد ذات الصلة,4
50,50,50,محلات الخزف الصيني والأواني المنزلية,4
51,51,51,محلات المعدات والمستلزمات المكتبية ما عدا الأثاث المكتبي,4
52,52,52,محلات النجارة,4
53,53,53,محلات بيع السيارات ومعداتها بالجملة,4
54,54,54,محلات الأواني المنزلية البلاستيكية,3
55,55,55,محلات الآلات غير الكهربائية والمعدات ذات الصلة,3
56,56,56,محلات بيع مواد البناء والمواد الزراعية الأخرى بالتجزئة,3
57,57,57,محلات المعدات الزراعية ومعدات الحدائق,3
58,58,58,محلات كل شيء بـ 2، 5، 10 ريال,3
59,59,59,محلات البقالات الأخرى,3
60,60,60,محلات الأجهزة المنزلية,3
61,61,61,الطواحين,3
62,62,62,محلات المواد الغذائية الأخرى,3
63,63,63,محلات الملابس النسائية الجاهزة,3
64,64,64,محلات نباتات الزينة والزهور,3
65,65,65,محلات بيع الآلات غير الكهربائية بالجملة,2
66,66,66,محلات الخشب المنشور والمواد الخشبية الأخرى,2
67,67,67,محلات الساعات,2
68,68,68,محلات المجوهرات الأخرى,2
69,69,69,محلات البضائع العامة الأخرى,2
70,70,70,محلات بيع مستلزمات الخياطة,2
71,71,71,محلات بيع السيارات,2
72,72,72,خدمات السيارات الأخرى,2
73,73,73,محلات بيع غاز الطبخ,2
74,74,74,المجمعات التجارية,2
75,75,75,أنواع أخرى من تجارة الوقود,1
76,76,76,محلات بيع المنتجات الكهربائية بالجملة,1
77,77,77,محلات بيع المنتجات الزراعية الخام بالجملة,1
78,78,78,محلات بيع المواد الغذائية والمواد ذات الصلة بالجملة,1
79,79,79,محلات بيع السلع الأخرى بالجملة,1
80,80,80,محلات الأطلية والزجاج وورق الحائط,1
81,81,81,محلات الكاميرات ولوازم التصوير,1
82,82,82,محلات بيع شرائط الفيديو,1
83,83,83,محلات بيع الملابس والبضائع الجافة بالجملة,0
84,84,84,محلات بيع الأدوية والكيماويات بالجملة,0
85,85,85,محلات النجارة والخردوات,0
86,86,86,محلات المعدات الزراعية,0
87,87,87,مطاعم المأكولات الشعبية,0
88,88,88,محلات بيع التحف والأشياء المستعملة,0
89,89,89,المتاجر المصنفة,0
90,90,90,مخازن المنوعات,0
91,91,91,محلات الشرائط والاسطوانات الصوتية,0
92,92,92,محلات العبايات,0
93,93,93,محلات المعدات والآلات الموسيقية,0
94,94,94,محلات الأثاث والتجهيزات المكتبية,0
95,95,95,المطابخ,0
96,96,96,محلات بيع الأثاث المستعمل,0
97,97,97,محلات الذهب والمجوهرات,0
98,98,98,محلات الفضيات,0
99,99,99,وكالات العقارات والأنشطة ذات الصلة,82
100,100,100,محلات الحلاقة وصالونات التجميل,78
101,101,101,مؤسسات التجارة العامة والمقاولات,72
102,102,102,المغاسل وخدمات التنظيف الجاف,63
103,103,103,محلات صيانة وإصلاح أجهزة التبريد والتكييف,62
104,104,104,أعمال المقاولات المتخصصة الأخرى,50
105,105,105,أعمال التجارة والمقاولات الأخرى,49
106,106,106,المكاتب الهندسية والمعمارية,29
107,107,107,وكالات السفر,23
108,108,108,الشقق المفروشة والأجنحة الفندقية,18
109,109,109,محلات تغيير الزيوت والتشحيم,17
110,110,110,استديوهات التصوير,15
111,111,111,محلات صيانة السيارات - سمكرة وكهرباء وميكانيكا,14
112,112,112,أعمال التسقيف والصفائح المعدنية,14
113,113,113,مغاسل السيارات,13
114,114,114,البنوك,12
115,115,115,الخدمات المالية - تأمين وعقارات أخرى,11
116,116,116,خدمات إصلاح وصيانة السيارات الأخرى,11
117,117,117,محلات الخطاطين,11
118,118,118,محلات البنشر,10
119,119,119,مؤسسات التجارة والمقاولات,10
120,120,120,محلات إصلاح المعدات الكهربائية,9
121,121,121,ورش تصنيع الأبواب والنوافذ - ألمونيوم,9
122,122,122,الخدمات الشخصية الأخرى,8
123,123,123,الفلل المفروشة,7
124,124,124,مؤسسات ووكالات الإعلان العامة,7
125,125,125,خدمات الأعمال الأخرى,6
126,126,126,المكاتب القانونية,6
127,127,127,الخدمات المهنية الأخرى,5
128,128,128,ورش تصنيع الأبواب والنوافذ - خشب,5
129,129,129,مكاتب التوظيف والاستقدام,5
130,130,130,التخزين في الأماكن المسقوفة,5
131,131,131,محلات مستلزمات الحفلات والرحلات,4
132,132,132,خدمات الصيانة والإصلاح الأخرى,3
133,133,133,الخدمات الإعلانية والأنشطة ذات الصلة,3
134,134,134,محلات طباعة الكروت,3
135,135,135,المكاتب الإدارية للمصانع والشركات الخاصة,3
136,136,136,محلات إصلاح التلفزيونات والراديوهات,2
137,137,137,مكاتب الاستشارات الاقتصادية,2
138,138,138,المكاتب الإدارية العامة,2
139,139,139,محلات نسخ وتصوير المستندات,2
140,140,140,محلات الصيرفة وسمسرة أسواق النقد,1
141,141,141,محلات إصلاح الأحذية,1
142,142,142,خدمات النظافة,1
143,143,143,خدمات مكافحة الحشرات,1
144,144,144,مؤسسات الخدمات الأمنية والحراسات,1
145,145,145,التخزين في الأماكن المكشوفة,1
146,146,146,المسالخ,0
147,147,147,الفنادق,0
148,148,148,استراحات المسافرين,0
149,149,149,مكاتب الترجمة,0
150,150,150,ورش تصنيع الأبواب والنوافذ - حديد,0
151,151,151,محلات تقييف الملابس,0
152,152,152,مرافق التخزين الأخرى,0
153,153,153,خدمات العملاء وتقارير الأعمال,0
154,154,154,أنواع مختلفة من خدمات المباني,0
155,155,155,خدمات المنازل والعمائر العامة,0
156,156,156,المكاتب المحاسبية,0
157,157,157,ساحات التخزين,0
158,158,158,التخزين المبرد,0
159,159,159,المدارس الابتدائية الحكومية للبنين,8
160,160,160,رياض الأطفال والتمهيدي,7
161,161,161,المدارس المتوسطة الخاصة للبنات,5
162,162,162,المدارس الابتدائية الحكومية للبنات,4
163,163,163,المدارس الثانوية الحكومية للبنين,4
164,164,164,المدارس المتوسطة الحكومية للبنات,3
165,165,165,المدارس المتوسطة الخاصة للبنين,3
166,166,166,المدارس العالمية,3
167,167,167,المدارس الثانوية الخاصة للبنات,3
168,168,168,خدمات التعليم الأخرى,3
169,169,169,المدارس المتوسطة الحكومية للبنين,2
170,170,170,المدارس الابتدائية الخاصة للبنات,2
171,171,171,المدارس الابتدائية الخاصة للبنين,2
172,172,172,المعاهد العليا,2
173,173,173,المدارس الثانوية الحكومية للبنات,2
174,174,174,المدارس الثانوية الخاصة للبنين,2
175,175,175,مدارس التدريب الخاص المهني والفني,2
176,176,176,المدارس الخاصة الشاملة للبنات,1
177,177,177,مدارس تحفيظ القرآن الثانوية للبنات,1
178,178,178,مدارس تحفيظ القرآن الابتدائية للبنات,1
179,179,179,مدارس تحفيظ القرآن المتوسطة للبنين,1
180,180,180,مدارس السفارات والجاليات,0
181,181,181,الكليات والجامعات الأخرى,0
182,182,182,المدارس الحكومية الشاملة للبنين,0
183,183,183,الكليات والجامعات للبنين,0
184,184,184,مرافق المعاقين والتعليم الخاص,0
185,185,185,المدارس الابتدائية الأخرى,0
186,186,186,مدارس تحفيظ القرآن الابتدائية للبنين,0
187,187,187,مراكز التعليم المستمر,0
188,188,188,مدارس التدريب الخاص لقيادة السيارات,0
189,189,189,المدارس الخاصة الشاملة للبنين,0
190,190,190,المدارس الثانوية الأخرى,0
191,191,191,مدارس تحفيظ القرآن المتوسطة للبنات,0
192,192,192,الكليات والجامعات للبنات,0
193,193,193,المدارس المتوسطة الأخرى,0
194,194,194,المدارس الحكومية الشاملة للبنات,0
195,195,195,مدارس التدريب الخاص الأخرى,0
196,196,196,مدارس تحفيظ القرآن الثانوية للبنين,0
197,197,197,المساجد المحلية,35
198,198,198,مساجد الجمع,16
199,199,199,مصليات العيد,2
200,200,200,مناطق الحجاج,0
201,201,201,حدائق الحارات الفرعية ذات مساحة أقل من 0.5 هكتار,14
202,202,202,صالات الألعاب,7
203,203,203,الصالات الرياضية,6
204,204,204,ملاعب الأطفال,3
205,205,205,الأندية الرياضية النسائية,3
